degree,school_name,img_src,date_range,note
"Master of Computers","Institut Teknologi Sepuluh Nopember","icons\its.png","Aug 2022 - Sep 2024","Thesis: <i>Neural Style Transfer of Batik Motifs to Fractal Shapes Using Convolution Layers of VGG Architecture</i>"
"Bachelor of Computers","Institut Teknologi Sepuluh Nopember","icons\its.png","Aug 2018 - Mar 2022","Final Project: <i>Development of Educational Puzzle Game Application to Help High School Students Learn Mathematics</i>"
